[2024-02-06 14:50:27,094][conftest.py 12][DEBUG]: ---------------开始执行测试：testcases.test01_single_login--------------
[2024-02-06 14:57:33,878][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:57:33,880][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 14:57:33,882][conftest.py 12][DEBUG]: ---------------开始执行测试：test_user_login--------------
[2024-02-06 14:57:34,979][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 14:57:34,980][test01_single_login.py 28][INFO]: 请求模块：%s
[2024-02-06 14:57:34,982][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 15:15:31,110][conftest.py 12][DEBUG]: ---------------开始执行测试：%s--------------
[2024-02-06 15:15:32,378][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 15:15:32,378][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:15:33,646][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 15:15:33,646][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:15:34,905][test01_single_login.py 27][INFO]: *************** 开始执行用例 查询指定余额列表***************
[2024-02-06 15:15:34,905][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:15:34,909][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 15:16:08,406][conftest.py 12][DEBUG]: ---------------开始执行测试：%s--------------
[2024-02-06 15:16:09,747][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:09,748][test01_single_login.py 29][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 15:16:11,100][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:11,100][test01_single_login.py 29][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 15:16:12,396][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:12,397][test01_single_login.py 29][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 15:16:12,400][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 15:16:51,167][conftest.py 12][DEBUG]: ---------------开始执行测试：%s--------------
[2024-02-06 15:16:52,438][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:52,440][test01_single_login.py 29][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 15:16:52,440][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:16:52,440][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:16:52,440][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:16:52,440][test01_single_login.py 33][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:16:52,440][test01_single_login.py 34][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:16:52,440][test01_single_login.py 35][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:16:53,673][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:53,674][test01_single_login.py 29][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 15:16:53,674][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:16:53,674][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:16:53,674][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:16:53,674][test01_single_login.py 33][INFO]: 请求体格式：{'email': '2685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:16:53,674][test01_single_login.py 34][INFO]: 登陆账号：2685214@qq.com
[2024-02-06 15:16:53,674][test01_single_login.py 35][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:16:54,927][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:16:54,927][test01_single_login.py 29][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 15:16:54,927][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:16:54,928][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:16:54,928][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:16:54,928][test01_single_login.py 33][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': 'bbdd8846efe154822f6ca9ffc10bcda2'}
[2024-02-06 15:16:54,928][test01_single_login.py 34][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:16:54,928][test01_single_login.py 35][INFO]: 登录密码：bbdd8846efe154822f6ca9ffc10bcda2
[2024-02-06 15:16:54,930][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 15:25:40,258][conftest.py 12][DEBUG]: ---------------开始执行测试：%s--------------
[2024-02-06 15:25:41,630][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:25:41,630][test01_single_login.py 29][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 15:25:41,630][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:25:41,630][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:25:41,630][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:25:41,631][test01_single_login.py 33][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:25:41,631][test01_single_login.py 34][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:25:41,631][test01_single_login.py 35][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:25:42,917][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:25:42,917][test01_single_login.py 29][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 15:25:42,917][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:25:42,918][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:25:42,918][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:25:42,918][test01_single_login.py 33][INFO]: 请求体格式：{'email': '2685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:25:42,918][test01_single_login.py 34][INFO]: 登陆账号：2685214@qq.com
[2024-02-06 15:25:42,918][test01_single_login.py 35][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:25:44,247][test01_single_login.py 28][INFO]: 请求模块：用户登录
[2024-02-06 15:25:44,248][test01_single_login.py 29][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 15:25:44,248][test01_single_login.py 30][INFO]: 请求方式：post
[2024-02-06 15:25:44,248][test01_single_login.py 31][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:25:44,248][test01_single_login.py 32][INFO]: 请求头：None
[2024-02-06 15:25:44,248][test01_single_login.py 33][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': 'bbdd8846efe154822f6ca9ffc10bcda2'}
[2024-02-06 15:25:44,248][test01_single_login.py 34][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:25:44,248][test01_single_login.py 35][INFO]: 登录密码：bbdd8846efe154822f6ca9ffc10bcda2
[2024-02-06 15:25:44,250][conftest.py 15][DEBUG]: ------------结束测试-----------
[2024-02-06 15:29:09,319][conftest.py 12][DEBUG]: ---------------开始--------------
[2024-02-06 15:29:09,321][test01_single_login.py 20][INFO]: -------------------开始执行用例-----------------------
[2024-02-06 15:29:10,602][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 15:29:10,602][test01_single_login.py 30][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 15:29:10,603][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 15:29:10,603][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:29:10,603][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 15:29:10,603][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:29:10,603][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:29:10,603][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:29:10,603][test01_single_login.py 37][INFO]: -------------------结束用例-----------------------
[2024-02-06 15:29:10,607][test01_single_login.py 20][INFO]: -------------------开始执行用例-----------------------
[2024-02-06 15:29:11,871][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 15:29:11,871][test01_single_login.py 30][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 15:29:11,872][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 15:29:11,872][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:29:11,872][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 15:29:11,872][test01_single_login.py 34][INFO]: 请求体格式：{'email': '2685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 15:29:11,872][test01_single_login.py 35][INFO]: 登陆账号：2685214@qq.com
[2024-02-06 15:29:11,872][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 15:29:11,872][test01_single_login.py 37][INFO]: -------------------结束用例-----------------------
[2024-02-06 15:29:11,876][test01_single_login.py 20][INFO]: -------------------开始执行用例-----------------------
[2024-02-06 15:29:13,127][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 15:29:13,127][test01_single_login.py 30][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 15:29:13,127][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 15:29:13,127][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 15:29:13,127][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 15:29:13,127][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': 'bbdd8846efe154822f6ca9ffc10bcda2'}
[2024-02-06 15:29:13,127][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 15:29:13,127][test01_single_login.py 36][INFO]: 登录密码：bbdd8846efe154822f6ca9ffc10bcda2
[2024-02-06 15:29:13,128][test01_single_login.py 37][INFO]: -------------------结束用例-----------------------
[2024-02-06 15:29:13,129][conftest.py 15][DEBUG]: ------------结束-----------
[2024-02-06 16:52:45,968][conftest.py 12][DEBUG]: ---------------开始--------------
[2024-02-06 16:52:45,969][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:52:47,333][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:52:47,333][test01_single_login.py 30][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 16:52:47,333][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:52:47,333][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:52:47,333][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:52:47,333][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 16:52:47,333][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 16:52:47,333][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 16:52:47,334][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:52:47,374][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:52:48,670][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:52:48,671][test01_single_login.py 30][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 16:52:48,671][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:52:48,671][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:52:48,671][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:52:48,671][test01_single_login.py 34][INFO]: 请求体格式：{'email': '2685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 16:52:48,671][test01_single_login.py 35][INFO]: 登陆账号：2685214@qq.com
[2024-02-06 16:52:48,671][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 16:52:48,671][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:52:48,689][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:52:49,955][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:52:49,956][test01_single_login.py 30][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 16:52:49,956][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:52:49,956][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:52:49,956][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:52:49,956][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': 'bbdd8846efe154822f6ca9ffc10bcda2'}
[2024-02-06 16:52:49,956][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 16:52:49,956][test01_single_login.py 36][INFO]: 登录密码：bbdd8846efe154822f6ca9ffc10bcda2
[2024-02-06 16:52:49,956][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:52:49,958][conftest.py 15][DEBUG]: ------------结束-----------
[2024-02-06 16:54:23,994][conftest.py 12][DEBUG]: ---------------开始--------------
[2024-02-06 16:54:23,995][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:54:25,376][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:54:25,376][test01_single_login.py 30][INFO]: 请求标题：正确的账号密码登录
[2024-02-06 16:54:25,376][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:54:25,376][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:54:25,376][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:54:25,376][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 16:54:25,376][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 16:54:25,377][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 16:54:25,377][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:54:25,381][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:54:26,710][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:54:26,710][test01_single_login.py 30][INFO]: 请求标题：账号为空，密码正确，登录失败
[2024-02-06 16:54:26,710][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:54:26,710][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:54:26,710][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:54:26,711][test01_single_login.py 34][INFO]: 请求体格式：{'email': '2685214@qq.com', 'password': '00b3502ae0de06ed8684357c46ff72be'}
[2024-02-06 16:54:26,711][test01_single_login.py 35][INFO]: 登陆账号：2685214@qq.com
[2024-02-06 16:54:26,711][test01_single_login.py 36][INFO]: 登录密码：00b3502ae0de06ed8684357c46ff72be
[2024-02-06 16:54:26,711][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:54:26,715][test01_single_login.py 20][INFO]: ------开始执行用例-------
[2024-02-06 16:54:28,046][test01_single_login.py 29][INFO]: 请求模块：用户登录
[2024-02-06 16:54:28,046][test01_single_login.py 30][INFO]: 请求标题：账号正确，密码为空，登录失败
[2024-02-06 16:54:28,046][test01_single_login.py 31][INFO]: 请求方式：post
[2024-02-06 16:54:28,046][test01_single_login.py 32][INFO]: 请求路径：/api/v1/auth/signin
[2024-02-06 16:54:28,046][test01_single_login.py 33][INFO]: 请求头：None
[2024-02-06 16:54:28,047][test01_single_login.py 34][INFO]: 请求体格式：{'email': '1442685214@qq.com', 'password': 'bbdd8846efe154822f6ca9ffc10bcda2'}
[2024-02-06 16:54:28,047][test01_single_login.py 35][INFO]: 登陆账号：1442685214@qq.com
[2024-02-06 16:54:28,047][test01_single_login.py 36][INFO]: 登录密码：bbdd8846efe154822f6ca9ffc10bcda2
[2024-02-06 16:54:28,047][test01_single_login.py 37][INFO]: -----结束用例-----
[2024-02-06 16:54:28,049][conftest.py 15][DEBUG]: ------------结束-----------
